oid,filter,mjd,mag,magerr,clrcoeff
821107100005285,zg,58324.27786,19.5669,0.0937203,-0.035162184
821107100005285,zg,58325.18392,19.340776,0.07922854,-0.061772197
821107100005285,zg,58325.20436,19.230675,0.072981015,-0.0367561
821207100004043,zr,58325.2116,19.292196,0.07073731,0.11510285
821207100004043,zr,58325.23339,19.152191,0.06361568,0.1117081
821107100005285,zg,58331.25134,19.53381,0.091455266,-0.06285087
821307100004794,zi,58332.16227,18.993874,0.066276155,0.19470756
821207100004043,zr,58334.15856,19.16956,0.06445741,0.11711432
821107100005285,zg,58334.17992,19.37738,0.08142017,-0.03672244
821107100005285,zg,58337.17449,19.347792,0.079644084,-0.05195966
821207100004043,zr,58337.19512,19.144491,0.06324611,0.11665737
821307100004794,zi,58338.16362,19.210867,0.0780811,0.19675566
821107100005285,zg,58345.17912,19.387144,0.08201458,-0.011274806
821107100005285,zg,58348.15818,19.406187,0.08318609,-0.04326305
821307100004794,zi,58348.1748,19.326698,0.08515959,0.17394437
821207100004043,zr,58348.19229,19.034227,0.058196,0.114693545
821107100005285,zg,58349.14868,19.450356,0.085965015,-0.041620955
821107100005285,zg,58349.17296,19.343302,0.07937791,-0.04261795
821107100005285,zg,58349.19523,19.369171,0.08092361,-0.020352809
821207100004043,zr,58351.14005,19.155348,0.063767806,0.11465384
821207100004043,zr,58351.14673,19.125675,0.062352575,0.114689186
821207100004043,zr,58351.14863,19.049541,0.058870986,0.11482533
821207100004043,zr,58351.17786,19.083656,0.060404822,0.11388672
821107100005285,zg,58352.15317,19.414713,0.08371576,-0.03884444
821107100005285,zg,58352.17365,19.494968,0.0888607,-0.026487125
821107100005285,zg,58352.19156,19.399162,0.08275208,-0.05096529
821207100004043,zr,58353.14191,19.20797,0.06636034,0.111829944
821207100004043,zr,58353.1493,19.059298,0.05930535,0.10422243
821207100004043,zr,58353.17206,19.036966,0.05831613,0.10680248
821207100004043,zr,58354.2007,19.166206,0.064293995,0.115936995
821207100004043,zr,58361.14176,19.07462,0.05999444,0.09919334
